number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,state
604,0.7335870599429115,2025-12-02 11:37:38.658383,2025-12-02 12:29:05.278205,0 days 00:51:26.619822,0.5803043455538927,0.37841825949178887,1.7837758223884903,0.1320127993043784,0.28156950864046587,0.11660277679831918,0.8190239847059648,0.06090681041971786,0.6165721243583936,0.9670879159684668,0.3925117315271508,0.4452621722441748,0.6160066140460523,0.11584359825126667,COMPLETE
605,0.7240723120837298,2025-12-02 12:29:05.531513,2025-12-02 13:20:37.000971,0 days 00:51:31.469458,1.0478453092254292,0.7294949523211158,1.7844009469508388,0.03965257637654966,0.3767296205599226,-0.9810809189259813,0.5916271505983667,0.010127062288138727,0.5620624280600313,0.947743976821217,0.4231225404514066,0.1587061892727381,0.5435368599156641,0.06457232618033064,COMPLETE
606,0.5894386298763082,2025-12-02 13:20:37.380147,2025-12-02 14:11:50.238541,0 days 00:51:12.858394,-1.0746730382689613,0.094286047874582,1.6194268697210503,0.14623507417673726,0.22920426152994733,0.026451131510400183,1.979359137225741,0.04493640212775249,0.5325446325616255,0.9183224244694449,0.9544940770507435,0.13775317262273612,0.49658095225566945,0.024151887336550118,COMPLETE
607,0.5342530922930543,2025-12-02 14:11:50.525289,2025-12-02 15:03:36.895255,0 days 00:51:46.369966,-1.6614719589755702,0.2304336543248518,1.0939689873888607,0.21314817999110527,0.02939678839734073,0.34617183041092414,-0.14059757395013142,0.07143352562667624,0.5853297506505137,0.9820081926080881,0.43722322539989106,0.5297774117368897,0.5266094584776196,0.8875410810401281,COMPLETE
608,0.7373929590865842,2025-12-02 15:03:37.213590,2025-12-02 15:55:24.656607,0 days 00:51:47.443017,1.1491734274772976,-0.06250761140534361,0.6229935802571038,-0.01070376726002284,0.29667176867964656,0.23129406640772393,1.1184712258834404,0.03345170548010676,0.6543706470658287,0.9332589572510818,0.7784355808837788,0.3775357197206262,0.5717050485527276,0.12599583182808546,COMPLETE
609,0.7435775451950524,2025-12-02 15:55:24.951863,2025-12-02 16:47:07.254399,0 days 00:51:42.302536,0.4926492046113902,0.17506786603488247,-0.8168434855779083,0.09110972801173187,0.12068204200221783,0.12455396069189337,1.3938039865399166,0.05597371469912834,0.5147704684644121,0.9583317661599803,0.3751485546669989,0.09505765554513718,0.636487299736402,0.08371853782974192,COMPLETE
610,0.7340627973358707,2025-12-02 16:47:07.477986,2025-12-02 17:38:46.839441,0 days 00:51:39.361455,0.4227161654212054,0.0518780062788842,-1.0784895463019886,-0.057845668921583326,0.08761732707354364,0.1496236241768934,1.6470304775081699,0.04238170471262105,0.012812177087234977,0.9685371068113672,0.3608349247358091,0.0793747753872829,0.666704575872886,0.06840701274441292,COMPLETE
611,0.7278782112274025,2025-12-02 17:38:47.073477,2025-12-02 18:30:25.319785,0 days 00:51:38.246308,0.4484790136153082,0.13335655375321248,-0.7157602796490865,0.06570356114605545,-0.04343461920662853,0.27233249180164554,1.3331672047362555,0.029517567326322876,0.5537185668417152,0.9998703339086916,0.376690429988109,0.06772760838565794,0.6607669209390601,0.08605066850929433,COMPLETE
612,0.7288296860133207,2025-12-02 18:30:25.582754,2025-12-02 19:22:11.404129,0 days 00:51:45.821375,0.4818873176431419,-0.017117881145026097,1.9370016317506267,0.09252955211104255,0.15095461954991668,0.19413347187931787,-0.44710753467218933,0.05741539305918472,0.573105104351728,0.9592134093663907,0.3233340863089063,0.09274767778619981,0.6276954254687488,0.08039305291405321,COMPLETE
613,0.7369172216936252,2025-12-02 19:22:11.730634,2025-12-02 20:13:58.139561,0 days 00:51:46.408927,0.6091855849175138,0.18344816626134258,-0.7736714832471108,0.01730708364998436,0.011356130736358855,0.09962466491935305,1.4201259376426059,0.0887625746342143,0.5041676270212804,0.9775679527390854,0.39140664370660355,0.037643965613235394,0.6374650352691766,0.045905256209998274,COMPLETE
