n_features,lambda,accuracy,f1,precision,recall,train_accuracy
4673,6989.277849038018,0.7245480494766888,0.7245837526100097,0.7536372144240338,0.7222598937823148,0.847882968601332
4560,4703.433512123027,0.7183634633682208,0.7178085317127768,0.7457263398357517,0.7161676673036028,0.8596574690770694
242,7657.654938247774,0.5784966698382493,0.5641319292401837,0.6256166212036439,0.57808151564903,0.5817078972407231
4740,813.2074921312944,0.6745956232159848,0.6707869677727751,0.6982547050335103,0.6715269450103072,0.9212654614652712
4888,15857.883331449539,0.7235965746907707,0.7240625171787242,0.7578029598694931,0.7212726105112637,0.8127973358705994
4801,25434.111304330658,0.7069457659372027,0.7084639378178841,0.7447239610888616,0.7046858304129087,0.7815176022835395
4649,1954.1461469792234,0.7021883920076119,0.699844050171445,0.7273865446132664,0.6996257922814706,0.8917697431018078
4495,4239.819414863341,0.7140818268315889,0.7129602709069329,0.7412924540220703,0.7115957279376126,0.8615604186489058
4908,63702.90343554829,0.6793529971455756,0.6793764132628569,0.7246357506829488,0.6770389275420152,0.7181255946717412
4725,9585.573972001119,0.7226450999048525,0.7237379748814878,0.7556383340992068,0.7202305021072833,0.8339676498572788
4767,5588.168659414582,0.7231208372978116,0.7225603646645454,0.751402989570008,0.7204663855760165,0.8595385347288297
4608,8977.758168552153,0.7183634633682208,0.7199240766642314,0.7484778268969945,0.7163833487591015,0.8337297811607992
4896,0.04325245468834463,0.48858230256898194,0.47809153381107966,0.49036889867664124,0.4854600963138049,0.9756184586108468
4690,14287.746737526557,0.7169362511893435,0.718252642164326,0.7505634509984014,0.7145815626763585,0.8136298763082779
4988,3579.3045123819875,0.7264509990485252,0.7245051734263716,0.7527115663701692,0.7237322571700312,0.8811845861084682
5000,3722.113800199326,0.7278782112274025,0.726068427149438,0.7542770012372245,0.7251704009320294,0.8799952426260704
4997,2809.8031118294557,0.7245480494766888,0.7220380595443441,0.7499311309472241,0.7219578823045969,0.888558515699334
4849,1379.4300178857666,0.7007611798287345,0.696781405302367,0.7243357614520642,0.6973363037821959,0.908301617507136
5000,3398.292246329969,0.725023786869648,0.722639884940818,0.7498739512215051,0.7222472667169628,0.8826117982873454
4834,28121.474027458917,0.703615604186489,0.7046450942100868,0.7442661738665214,0.7012710887037622,0.7752140818268316
4893,6733.5143554921715,0.731208372978116,0.7298617374996162,0.7570276102181607,0.7282557537317801,0.8540675547098002
4908,4658.433428177076,0.7297811607992388,0.7278611684285237,0.7558928984674388,0.7267721050135489,0.8696479543292103
4941,2047.409381358394,0.7150333016175071,0.7112332467099628,0.73771396421145,0.7119501227499269,0.8992626070409134
4844,4023.2727030901974,0.7212178877259753,0.7184773926531817,0.7462683281208369,0.7179878512099065,0.8725023786869648
4998,20.771974644164175,0.5171265461465271,0.5089595202142668,0.5242051511417524,0.5138387968580158,0.9772835394862036
4915,15589.18421611313,0.7221693625118935,0.7228258526972171,0.7567859173444877,0.7197921976758115,0.8125594671741199
4807,11310.732737562103,0.7193149381541389,0.7201376759350957,0.7524205430003643,0.7169415830697163,0.828615604186489
4802,5477.7228171967645,0.725023786869648,0.7235247626040329,0.7514163756699694,0.7221160051016597,0.8629876308277831
4911,921.4365691334395,0.6893434823977165,0.6851179681800722,0.7111814572953026,0.6864684695217806,0.9256660323501428
