number,value,datetime_start,datetime_complete,duration,params_a,params_lambda,params_mu,params_new_fs,params_u_dc,state
92,0.1845861084681256,2025-11-18 23:52:09.223238,2025-11-19 00:01:34.530049,0 days 00:09:25.306811,1.2973731217851088,974.9250680938845,3.5721319577413344,21203,0.8463342877537434,COMPLETE
93,0.230732635585157,2025-11-19 00:01:34.773238,2025-11-19 00:08:57.679162,0 days 00:07:22.905924,1.7783494779812088,528.0748773252119,2.3618708070868406,1637,0.9467912046939451,COMPLETE
94,0.19600380589914368,2025-11-19 00:08:57.974123,2025-11-19 00:17:33.907042,0 days 00:08:35.932919,2.131044263227182,1.3660228954581153,4.305542125140777,17114,0.9143643680632416,COMPLETE
95,0.2602283539486204,2025-11-19 00:17:34.221625,2025-11-19 00:27:07.741401,0 days 00:09:33.519776,2.3173539511977874,11457.035859031124,3.7608555626424858,22344,0.981017241914466,COMPLETE
96,0.2483349191246432,2025-11-19 00:27:08.028093,2025-11-19 00:36:56.888621,0 days 00:09:48.860528,1.9344176677954508,5359.152748705194,3.7221509753358366,22708,0.9721996932176453,COMPLETE
97,0.26070409134157946,2025-11-19 00:36:57.155186,2025-11-19 00:46:46.905667,0 days 00:09:49.750481,1.6841632063717633,5284.55661180071,3.7206073201081478,22333,0.9787377516770559,COMPLETE
98,0.230732635585157,2025-11-19 00:46:47.099762,2025-11-19 00:56:29.916258,0 days 00:09:42.816496,1.6911852230994007,98402.36311409611,3.939343773279251,23113,0.9630488069260525,COMPLETE
99,0.22216936251189343,2025-11-19 00:56:30.097440,2025-11-19 01:06:03.915208,0 days 00:09:33.817768,1.4152736769682182,4693.214468895629,3.695659688947188,22067,0.9854490522305022,COMPLETE
100,0.2269267364414843,2025-11-19 01:06:04.120625,2025-11-19 01:15:58.066314,0 days 00:09:53.945689,1.0039370922203736,989247.2777312518,4.1677875288867705,22714,0.9994490749516355,COMPLETE
101,0.24215033301617508,2025-11-19 01:15:58.344488,2025-11-19 01:26:17.660817,0 days 00:10:19.316329,1.9306111669466843,12263.914004904476,3.898525353524364,23967,0.9349856795361645,COMPLETE
102,0.181255946717412,2025-11-19 08:18:31.968888,2025-11-19 08:29:05.880265,0 days 00:10:33.911377,0.5386574047220803,2171.484056037955,3.7548339446862222,24825,0.9737456125867819,COMPLETE
103,0.2340627973358706,2025-11-19 08:29:06.224100,2025-11-19 08:39:35.157872,0 days 00:10:28.933772,1.927843231162192,17179.369628188193,3.875246951076894,24083,0.9326038075377504,COMPLETE
104,0.2450047573739296,2025-11-19 08:39:35.396027,2025-11-19 08:50:23.524301,0 days 00:10:48.128274,1.7743881496168488,10165.125273657834,3.450120305050398,25417,0.9475913108234963,COMPLETE
105,0.2373929590865842,2025-11-19 08:50:23.752349,2025-11-19 09:02:09.821769,0 days 00:11:46.069420,1.5423523119377192,5699.543099631316,3.5291137304684965,27373,0.8936357108128042,COMPLETE
106,0.1874405328258801,2025-11-19 09:02:10.043029,2025-11-19 09:10:59.313273,0 days 00:08:49.270244,1.2211783459908494,38301.46489970393,3.4268770384491516,18202,0.9520358348733035,COMPLETE
107,0.25737392959086586,2025-11-19 09:10:59.593548,2025-11-19 09:21:51.731421,0 days 00:10:52.137873,2.274530458078632,2643.589594104188,4.428732054238326,25396,0.9789898094786057,COMPLETE
