set,combination,num_sensors,top_k,lambda_opt,accuracy
val,4-5-6,3,10000,10000.0,76.87899999999999
val,4-5-6,3,1500,10000.0,74.929
val,4-5-6,3,20,100.0,49.905
val,4-5-6,3,200,100.0,71.789
val,4-5-6,3,2000,10000.0,75.595
val,4-5-6,3,300,100.0,73.359
val,4-5-6,3,3000,10000.0,75.642
val,4-5-6,3,400,1000.0,74.167
val,4-5-6,3,4000,10000.0,75.642
val,4-5-6,3,50,100.0,60.324
val,4-5-6,3,500,1000.0,74.833
val,4-5-6,3,5000,10000.0,76.118
val,4-5-6,3,600,10000.0,74.31
val,4-5-6,3,700,10000.0,74.405
val,4-5-6,3,800,10000.0,75.024
val,4-5-6,3,900,10000.0,74.738
val,4-5-7,3,10,10.0,36.346000000000004
val,4-5-7,3,100,10.0,67.174
val,4-5-7,3,1000,10000.0,78.069
val,4-5-7,3,10000,10000.0,78.925
val,4-5-7,3,1500,10000.0,78.306
val,4-5-7,3,20,1000.0,50.999
val,4-5-7,3,200,100.0,74.738
val,4-5-7,3,2000,10000.0,78.735
val,4-5-7,3,300,100.0,75.97500000000001
val,4-5-7,3,3000,10000.0,78.877
val,4-5-7,3,400,100.0,77.117
val,4-5-7,3,4000,10000.0,78.782
val,4-5-7,3,50,10.0,62.845
val,4-5-7,3,500,1000.0,77.498
val,4-5-7,3,5000,10000.0,78.544
val,4-5-7,3,600,10000.0,76.594
val,4-5-7,3,700,10000.0,77.307
val,4-5-7,3,800,10000.0,77.498
val,4-5-7,3,900,10000.0,77.593
val,4-5,2,10,10.0,36.394
val,4-5,2,100,10.0,64.17699999999999
val,4-5,2,1000,10000.0,75.119
val,4-5,2,10000,10000.0,76.166
val,4-5,2,1500,10000.0,74.643
val,4-5,2,20,1e-06,49.81
val,4-5,2,200,100.0,71.313
val,4-5,2,2000,10000.0,75.309
val,4-5,2,300,1.0,72.36
val,4-5,2,3000,10000.0,75.214
val,4-5,2,400,1000.0,73.359
val,4-5,2,4000,10000.0,75.071
val,4-5,2,50,100.0,59.705
val,4-5,2,500,1000.0,74.358
val,4-5,2,5000,10000.0,75.642
val,4-5,2,600,1000.0,73.644
val,4-5,2,700,1000.0,74.881
val,4-5,2,800,10000.0,74.5
val,4-5,2,900,10000.0,74.215
val,4-6-7,3,10,1e-06,36.346000000000004
val,4-6-7,3,100,10.0,66.603
val,4-6-7,3,1000,10000.0,77.25999999999999
val,4-6-7,3,10000,10000.0,78.63900000000001
val,4-6-7,3,1500,10000.0,77.593
val,4-6-7,3,20,10.0,50.428
val,4-6-7,3,200,10.0,74.215
val,4-6-7,3,2000,10000.0,78.116
val,4-6-7,3,300,100.0,75.167
val,4-6-7,3,3000,10000.0,78.497
val,4-6-7,3,400,1000.0,75.309
val,4-6-7,3,4000,10000.0,78.592
val,4-6-7,3,50,10.0,61.941
val,4-6-7,3,500,1000.0,76.641
val,4-6-7,3,5000,10000.0,78.449
val,4-6-7,3,600,10000.0,77.117
val,4-6-7,3,700,10000.0,77.16499999999999
val,4-6-7,3,800,10000.0,77.307
val,4-6-7,3,900,10000.0,76.974
val,4-6,2,10,1e-06,35.966
val,4-6,2,100,1000.0,63.939
val,4-6,2,1000,10000.0,74.738
val,4-6,2,10000,10000.0,76.166
val,4-6,2,1500,10000.0,74.738
val,4-6,2,20,100.0,49.382
val,4-6,2,200,10.0,71.36099999999999
val,4-6,2,2000,10000.0,74.881
val,4-6,2,300,10.0,72.122
val,4-6,2,3000,10000.0,74.976
val,4-6,2,400,1000.0,73.12100000000001
val,4-6,2,4000,10000.0,75.642
val,4-6,2,50,10.0,59.657000000000004
val,4-6,2,500,1000.0,73.406
val,4-6,2,5000,10000.0,75.833
val,4-6,2,600,1000.0,73.977
val,4-6,2,700,10000.0,74.072
val,4-6,2,800,10000.0,74.11999999999999
val,4-6,2,900,10000.0,73.977
val,4-7,2,10,1e-06,36.156
val,4-7,2,100,10.0,67.079
val,4-7,2,1000,10000.0,77.593
val,4-7,2,10000,10000.0,79.163
val,4-7,2,1500,10000.0,78.354
val,4-7,2,20,10.0,50.0
val,4-7,2,200,10.0,73.739
val,4-7,2,2000,10000.0,78.306
val,4-7,2,300,100.0,75.167
val,4-7,2,3000,10000.0,78.83
val,4-7,2,400,100.0,75.69
val,4-7,2,4000,10000.0,78.925
val,4-7,2,50,1.0,62.083999999999996
val,4-7,2,500,1000.0,76.546
val,4-7,2,5000,10000.0,79.02
val,4-7,2,600,10000.0,76.166
val,4-7,2,700,10000.0,76.87899999999999
val,4-7,2,800,10000.0,77.307
val,4-7,2,900,10000.0,77.16499999999999
val,5-6-7,3,10,0.01,36.441
val,5-6-7,3,100,100.0,66.603
val,5-6-7,3,1000,10000.0,77.593
val,5-6-7,3,10000,10000.0,78.259
val,5-6-7,3,1500,10000.0,76.87899999999999
val,5-6-7,3,20,10.0,50.428
val,5-6-7,3,200,100.0,74.31
val,5-6-7,3,2000,10000.0,78.259
val,5-6-7,3,300,100.0,75.452
val,5-6-7,3,3000,10000.0,78.259
val,5-6-7,3,400,1000.0,76.356
val,5-6-7,3,4000,10000.0,78.021
val,5-6-7,3,50,10.0,61.132
val,5-6-7,3,500,1000.0,77.25999999999999
val,5-6-7,3,5000,10000.0,78.116
val,5-6-7,3,600,10000.0,76.689
val,5-6-7,3,700,10000.0,76.641
val,5-6-7,3,800,10000.0,76.736
val,5-6-7,3,900,10000.0,77.069
val,5-6,2,10,10.0,36.441
val,5-6,2,100,1.0,64.17699999999999
val,5-6,2,1000,10000.0,74.31
val,5-6,2,10000,10000.0,76.546
val,5-6,2,1500,10000.0,75.071
val,5-6,2,20,10.0,48.24
val,5-6,2,200,10.0,71.313
val,5-6,2,2000,10000.0,75.5
val,5-6,2,300,10.0,73.454
val,5-6,2,3000,10000.0,75.119
val,5-6,2,400,10.0,73.787
val,5-6,2,4000,10000.0,75.595
val,5-6,2,50,10.0,59.562000000000005
val,5-6,2,500,1000.0,73.92999999999999
val,5-6,2,5000,10000.0,76.118
val,5-6,2,600,1000.0,74.405
val,5-6,2,700,10000.0,73.977
val,5-6,2,800,10000.0,74.453
val,5-6,2,900,10000.0,74.405
val,5-7,2,10,100.0,36.346000000000004
val,5-7,2,100,1e-06,66.74600000000001
val,5-7,2,1000,10000.0,77.545
val,5-7,2,10000,10000.0,78.63900000000001
val,5-7,2,1500,10000.0,77.735
val,5-7,2,20,10.0,50.0
val,5-7,2,200,100.0,74.263
val,5-7,2,2000,10000.0,78.211
val,5-7,2,300,10.0,75.357
val,5-7,2,3000,10000.0,79.06800000000001
val,5-7,2,400,100.0,76.499
val,5-7,2,4000,10000.0,78.782
val,5-7,2,50,10.0,60.94199999999999
val,5-7,2,500,100.0,76.736
val,5-7,2,5000,10000.0,78.63900000000001
val,5-7,2,600,1000.0,76.261
val,5-7,2,700,1000.0,77.069
val,5-7,2,800,1000.0,77.16499999999999
val,5-7,2,900,10000.0,77.022
val,6-7,2,10,0.1,36.204
val,6-7,2,100,10.0,66.65100000000001
val,6-7,2,1000,10000.0,76.927
val,6-7,2,10000,10000.0,78.544
val,6-7,2,1500,10000.0,77.735
val,6-7,2,20,10.0,49.286
val,6-7,2,200,0.01,73.406
val,6-7,2,2000,10000.0,77.926
val,6-7,2,300,100.0,74.929
val,6-7,2,3000,10000.0,78.021
val,6-7,2,400,1000.0,75.88000000000001
val,6-7,2,4000,10000.0,78.069
val,6-7,2,50,0.1,60.751999999999995
val,6-7,2,500,1000.0,76.974
val,6-7,2,5000,10000.0,78.402
val,6-7,2,600,10000.0,76.261
val,6-7,2,700,10000.0,76.641
val,6-7,2,800,10000.0,76.87899999999999
val,6-7,2,900,10000.0,76.546
