set,combination,num_sensors,top_k,lambda_opt,accuracy
test,2-4,2,500,10000.0,34.0
test,2-4,2,5000,10000.0,33.0
test,2-4,2,600,10000.0,33.25
test,2-4,2,700,10000.0,33.5
test,2-4,2,800,10000.0,34.0
test,2-4,2,900,10000.0,34.0
test,2-5-6,3,10,1e-06,15.75
test,2-5-6,3,100,100.0,28.999999999999996
test,2-5-6,3,1000,10000.0,32.5
test,2-5-6,3,10000,10000.0,33.25
test,2-5-6,3,1500,10000.0,33.25
test,2-5-6,3,20,10.0,17.75
test,2-5-6,3,200,1000.0,29.25
test,2-5-6,3,2000,10000.0,32.0
test,2-5-6,3,300,10.0,30.0
test,2-5-6,3,3000,10000.0,31.75
test,2-5-6,3,400,1000.0,32.75
test,2-5-6,3,4000,10000.0,31.75
test,2-5-6,3,50,1.0,28.249999999999996
test,2-5-6,3,500,1000.0,33.5
test,2-5-6,3,5000,10000.0,32.25
test,2-5-6,3,600,10000.0,34.0
test,2-5-6,3,700,10000.0,33.75
test,2-5-6,3,800,10000.0,33.75
test,2-5-6,3,900,10000.0,32.75
test,2-5-7,3,10,1e-06,15.25
test,2-5-7,3,100,100.0,29.75
test,2-5-7,3,1000,10000.0,32.25
test,2-5-7,3,10000,10000.0,33.75
test,2-5-7,3,1500,10000.0,33.75
test,2-5-7,3,20,100.0,20.75
test,2-5-7,3,200,100.0,30.25
test,2-5-7,3,2000,10000.0,33.0
test,2-5-7,3,300,10.0,30.25
test,2-5-7,3,3000,10000.0,32.25
test,2-5-7,3,400,1000.0,33.25
test,2-5-7,3,4000,10000.0,32.75
test,2-5-7,3,50,10.0,28.749999999999996
test,2-5-7,3,500,1000.0,33.0
test,2-5-7,3,5000,10000.0,32.75
test,2-5-7,3,600,10000.0,33.75
test,2-5-7,3,700,10000.0,33.0
test,2-5-7,3,800,10000.0,33.75
test,2-5-7,3,900,10000.0,32.25
test,2-5,2,10,100.0,12.75
test,2-5,2,100,10.0,28.749999999999996
test,2-5,2,1000,10000.0,32.5
test,2-5,2,10000,10000.0,31.75
test,2-5,2,1500,10000.0,32.75
test,2-5,2,20,1.0,19.25
test,2-5,2,200,100.0,28.499999999999996
test,2-5,2,2000,10000.0,31.25
test,2-5,2,300,1000.0,31.75
test,2-5,2,3000,10000.0,32.0
test,2-5,2,400,100.0,32.75
test,2-5,2,4000,10000.0,30.75
test,2-5,2,50,1e-06,27.250000000000004
test,2-5,2,500,1000.0,34.0
test,2-5,2,5000,10000.0,31.5
test,2-5,2,600,1000.0,33.0
test,2-5,2,700,1000.0,34.0
test,2-5,2,800,10000.0,32.5
test,2-5,2,900,10000.0,32.0
test,2-6-7,3,10,0.01,13.25
test,2-6-7,3,100,10.0,28.749999999999996
test,2-6-7,3,1000,10000.0,33.0
test,2-6-7,3,10000,10000.0,33.75
test,2-6-7,3,1500,10000.0,32.75
test,2-6-7,3,20,10.0,20.75
test,2-6-7,3,200,10.0,28.999999999999996
test,2-6-7,3,2000,10000.0,32.0
