number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_a_7,params_f_0,params_f_1,params_f_2,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_high_0,params_high_1,params_high_2,params_high_3,params_high_4,params_high_5,params_high_6,params_high_7,params_low_0,params_low_1,params_low_2,params_low_3,params_low_4,params_low_5,params_low_6,params_low_7,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,params_u_dc_7,state
191,0.7959086584205518,2025-11-14 04:25:42.746382,2025-11-14 05:25:48.611739,0 days 01:00:05.865357,-0.09128894650610764,3.2189447434339247,0.44310783982453694,0.8807342229601008,0.7263890503822725,1.7443490207902004,2.0462928778951115,-3.3362097679590397,2248.0166354132675,4452.100333778082,5716.626505390111,7399.625634023192,9174.796151212768,10544.516204440242,13401.75319216292,15847.639035915037,2606,4811,6550,7766,9503,11236,12947,15832,11,2239,3951,5913,7582,9558,11381,13584,0.04697295023851042,0.14998713067456754,0.8530918661921051,0.4741964505442449,0.6030602106526406,0.27986303367032317,0.8950422083407704,0.6738449071943866,COMPLETE
192,0.7959086584205518,2025-11-14 05:25:48.955316,2025-11-14 06:25:40.547553,0 days 00:59:51.592237,-0.09895772619177523,4.038823814309299,0.4718402073105114,0.7847504805086053,0.700607251161437,1.714179430092617,2.479023308430735,-3.2481210287454667,2256.465893789263,4413.526148461931,5629.477624029676,7413.508454077579,9064.725872950494,10562.357723602874,13491.417690149783,15841.160508395476,2601,4820,6559,7788,9497,11223,12937,15832,10,2230,3951,5914,7586,9567,11376,13577,0.05172213372933789,0.1393224321184525,0.8777671712999928,0.49246540599616806,0.5790971840266637,0.3259966995148218,0.906703725890228,0.6787629368091689,COMPLETE
193,0.7916270218839201,2025-11-14 06:25:40.853020,2025-11-14 07:25:45.430879,0 days 01:00:04.577859,-0.04477958758172873,4.496510835303004,0.3856445760781054,0.6742677518984673,0.647689381316025,1.47267034312722,2.415017639549816,-3.082099798003434,2180.912538593757,4444.845237311636,5633.276957411641,7407.144649077397,9138.949938871401,10545.666353498462,13494.297874992162,15897.958042641976,2601,4834,6552,7769,9493,11232,12946,15819,14,2229,3953,5910,7584,9559,11375,13581,0.05442755721116348,0.12927889770798326,0.8863763581188925,0.4865919598306404,0.6057918343437392,0.31230640109588736,0.9051482089098423,0.7086568056248869,COMPLETE
194,0.36631779257849667,2025-11-14 07:25:45.813847,2025-11-14 08:25:29.919638,0 days 00:59:44.105791,-0.46598818464084646,4.260072029712065,0.6201212212541197,0.7358111968205641,1.2072047036598368,1.2075435517373039,2.2007336061801936,-2.7961621337021842,2248.279426401772,4439.859158466461,5670.253270477547,7491.651213808595,9160.485598830881,10498.602913731136,13386.00207986644,15930.588864338984,2564,4769,6653,7836,9470,11225,12920,15839,219,2190,3948,5922,7616,9544,11392,13559,0.09626516874682868,0.14576799676999636,0.8545727804152403,0.5040533918658646,0.6129564668111803,0.326605155228688,0.9173036168198154,0.7124410464992665,COMPLETE
195,0.5566127497621313,2025-11-14 08:25:30.214928,2025-11-14 09:25:21.756889,0 days 00:59:51.541961,-0.2750711080605932,3.913780205704779,0.8363139648644785,0.4402634433022595,0.7729149052006169,1.682747307778642,2.065762752117684,-3.1275541941090657,2051.8298463259785,4432.330478687011,5601.825523563882,7425.612973939226,9062.571145878095,10601.416514754352,13422.77951444274,15850.372422263337,2616,4810,6576,7757,9509,11196,12955,15879,9,2209,3966,5931,7598,9515,11310,13596,0.0651564311987439,0.11984175670606953,0.8926301413571704,0.4448034484851143,0.5506480913612154,0.31689542292191825,0.8826184884480078,0.7158075874344515,COMPLETE
196,0.7806850618458611,2025-11-14 09:25:22.152338,2025-11-14 10:25:31.081603,0 days 01:00:08.929265,0.00047413293984177596,3.264333931597141,0.4469630917052325,1.1348809922675283,0.20093792548660094,3.5130617591026185,2.5111767569906793,-3.2827861920499544,2237.0254439721957,4487.110778111411,5709.825700216135,7449.85487017003,9036.556752474437,10540.01998632709,13498.972553426862,15779.071479446951,2588,4814,6515,7818,9453,11213,12933,15857,28,2236,3945,5897,7635,9562,11341,13581,0.04500304263357428,0.15071360945617912,0.8601538278164416,0.47212824097040074,0.5839431096310348,0.29601694511952464,0.9488497856828336,0.6698103603441545,COMPLETE
197,0.6726926736441484,2025-11-14 10:25:31.346300,2025-11-14 11:25:43.535135,0 days 01:00:12.188835,-0.5204715403246721,3.9172207837137463,0.2892926678925567,0.6540582517437803,0.341719209108776,1.735902209033169,1.5830732929897797,-2.9059266207428824,2326.770896206682,4459.650749487231,5654.683735012342,7378.076577313103,9192.272350442092,10575.178563905469,13324.707864262637,15722.226525775348,2641,4795,6539,7794,9436,11243,12964,15815,23,2175,3966,5957,7582,9528,11355,13543,0.07712229582377259,0.1020451090186289,0.8171569359318579,0.5133230607262126,0.6358593334905235,0.28679076235961354,0.928972636869009,0.7435278354042876,COMPLETE
198,0.7859181731684111,2025-11-14 11:25:43.826955,2025-11-14 12:26:23.775406,0 days 01:00:39.948451,-0.15969236732392111,3.532099496278425,1.1821164590727031,0.3004691186526048,0.5713074093006801,1.3903540645682693,1.4274478445993377,-3.373685089386158,2146.300077977185,4425.437846754723,5698.672590472517,7491.923251139772,9230.089723252113,10638.739062699966,13418.08262096925,15816.197185211247,2629,4580,6560,7717,9484,11171,12903,15837,11,2232,3972,5902,7613,9565,11387,13566,0.04153568208044528,0.13794941753097553,0.9193863672371672,0.4527089119422534,0.6497500193783775,0.2619405012997115,0.8970600772812382,0.6352485988248271,COMPLETE
199,0.7825880114176974,2025-11-14 12:26:24.083394,2025-11-14 13:26:06.329498,0 days 00:59:42.246104,0.21653871373503136,3.7321633495914104,0.08894313382324867,0.9001627465492548,0.9357253091970479,1.0120973894058154,2.4039362951780165,-3.0678895699225897,2262.218729229618,4482.88315415235,5737.796812318178,7331.504574166242,9019.072003216703,10506.527431837229,13613.803507780101,15974.779898300603,2610,4851,6499,7736,9467,11187,12939,15883,26,2211,3961,5935,7559,10215,11416,13457,0.03427007930114486,0.12677058781536815,0.8586026263037876,0.46796122746246804,0.6193747994150384,0.2914842278988297,0.8689093782519772,0.6844540600233502,COMPLETE
200,0.49762131303520457,2025-11-14 13:26:06.622848,2025-11-14 14:26:03.258969,0 days 00:59:56.636121,-4.519163377204996,3.001065380470979,0.6276090819062289,0.4891705992727256,-0.07441655231137556,2.044405087177755,2.0442034480282034,-2.5976587712295665,2111.664182472973,4428.664906903924,5633.362018318819,7395.8904413616665,9113.606313905308,10476.353375977847,13393.810808292985,15868.806918458493,2579,4831,6524,7712,9504,11212,12985,15869,10,2243,3946,6160,7598,9542,11452,13592,0.07472024284510127,0.0989455936530277,0.8279969076937798,0.49112551576695224,0.5757352449931232,0.2739638528713502,0.9586686691317121,0.6078599655131856,COMPLETE
